bedrooms,type,location,area,bathrooms,parking,price
3.0,apartment,Sea Point,228.0,3.5,2,16175000.0
3.0,apartment,Fresnaye,142.0,2,1,5995000.0
2.0,apartment,Fresnaye,98.0,2,1,3600000.0
5.0,house,Constantia,1.0,3,2,7990000.0
1.0,apartment,Rondebosch,62.0,1,1,1550000.0
2.0,apartment,Sea Point,157.0,3,1,8450000.0
2.0,apartment,Cape Town City Centre,62.0,1,1,1650000.0
2.0,apartment,Vredehoek,103.0,2,2,3695000.0
2.0,house,Rondebosch,140.0,1,2,2400000.0
2.0,apartment,Sea Point,157.0,3,1,8450000.0
5.0,house,Rondebosch,601.0,4,3,6850000.0
4.0,house,Claremont Upper,472.0,4.5,2,7480000.0
4.0,house,Woodstock,279.0,2,2,2995000.0
5.0,house,Rondebosch,978.0,4,5,9850000.0
3.0,apartment,Sea Point,228.0,3.5,2,16175000.0
3.0,apartment,Fresnaye,142.0,2,1,5995000.0
5.0,house,Constantia,1.0,3,2,7990000.0
1.0,apartment,Rondebosch,62.0,1,1,1550000.0
2.0,apartment,Cape Town City Centre,62.0,1,1,1650000.0
2.0,apartment,Vredehoek,103.0,2,2,3695000.0
3.0,apartment,Sea Point,228.0,3.5,2,16175000.0
3.0,apartment,Fresnaye,142.0,2,1,5995000.0
1.0,apartment,Rondebosch,62.0,1,1,1550000.0
3.0,house,Rondebosch,297.0,2,2,2790000.0
2.0,apartment,Cape Town City Centre,62.0,1,1,1650000.0
2.0,apartment,Vredehoek,103.0,2,2,3695000.0
4.0,house,Bishopscourt,4.0,3,7,14350000.0
4.0,apartment,Green Point,279.0,4.5,2,14750000.0
3.0,apartment,Claremont,142.0,2,2,0
1.0,apartment,Kenilworth Upper,47.0,1,1,1499000.0
4.0,house,Newlands,949.0,3,2,12900000.0
3.0,house,Plumstead,413.0,2,1,2350000.0
2.0,apartment,Green Point,126.0,2,1,4700000.0
2.0,apartment,Sea Point,76.0,1,1,3149000.0
1.0,apartment,Green Point,50.0,1,1,1995000.0
3.0,house,Fresnaye,301.0,3,4,16950000.0
3.0,house,Vredehoek,265.0,2,2,4995000.0
5.0,house,Camps Bay,1.0,5.5,4,11995000.0
4.0,house,Pinelands,996.0,2,1,3500000.0
1.0,apartment,Cape Town City Centre,48.0,1,1,2225000.0
2.0,apartment,Gardens,71.0,1,1,3200000.0
2.0,apartment,Sea Point,140.0,2,1,7900000.0
2.0,apartment,Sea Point,140.0,2,1,7900000.0
2.0,apartment,Green Point,81.0,1,2,3300000.0
2.0,apartment,Cape Town City Centre,154.0,2,2,5450000.0
3.0,apartment,Zonnebloem,130.0,1.5,2,2599000.0
6.0,house,Claremont Upper,507.0,6,4,8999000.0
3.0,house,Newlands,144.0,1,4,3495000.0
3.0,apartment,Claremont,142.0,2,2,0
3.0,house,Woodstock,356.0,1,2,3890000.0
3.0,house,Meadowridge,818.0,1.5,1,2995000.0
4.0,house,Lakeside,496.0,2,1,2390000.0
2.0,apartment,Cape Town City Centre,84.0,2,1,2300000.0
2.0,apartment,Cape Town City Centre,84.0,2,1,2300000.0
4.0,house,Tokai,1.0,3,2,4850000.0
2.0,apartment,Gardens,71.0,1,1,3200000.0
2.0,apartment,Green Point,81.0,1,2,3300000.0
2.0,apartment,Vredehoek,114.0,2.5,1,4400000.0
2.0,apartment,Cape Town City Centre,154.0,2,2,5450000.0
3.0,apartment,Zonnebloem,130.0,1.5,2,2599000.0
6.0,house,Claremont Upper,507.0,6,4,8999000.0
1.0,apartment,Rondebosch,46.0,1,1,1600000.0
3.0,house,Newlands,144.0,1,4,3495000.0
5.0,house,Meadowridge,987.0,3,2,3950000.0
3.0,house,Bergvliet,332.0,2,2,2995000.0
2.0,apartment,Vredehoek,114.0,2.5,1,4400000.0
1.0,apartment,Cape Town City Centre,30.0,1,1,1980000.0
5.0,house,Constantia,2.0,3,2,9500000.0
5.0,house,Meadowridge,987.0,3,2,3950000.0
3.0,house,Bergvliet,332.0,2,2,2995000.0
2.0,apartment,Vredehoek,114.0,2.5,1,4400000.0
1.0,apartment,Cape Town City Centre,30.0,1,1,1980000.0
3.0,house,Muizenberg,73.0,1,3,1280000.0
5.0,house,Constantia,2.0,3,2,9500000.0
2.0,apartment,Oranjezicht,74.0,1,1,1995000.0
2.0,apartment,Kenilworth Upper,86.0,1,1,1995000.0
2.0,apartment,Vredehoek,165.0,1,2,4495000.0
4.0,house,Muizenberg,281.0,1,1,2500000.0
3.0,apartment,Kenilworth Upper,187.0,2,1,3500000.0
1.0,apartment,Claremont Upper,42.0,1,1,1180000.0
0,apartment,Cape Town City Centre,41.0,1,1,2207850.0
3.0,house,Capricorn,220.0,2.5,2,1595000.0
3.0,house,Claremont,446.0,2,2,2950000.0
4.0,house,Tokai,959.0,3,3,3950000.0
3.0,house,Plumstead,1.0,2,12,3295000.0
3.0,house,Kirstenhof,275.0,2,1,2895000.0
3.0,house,Wynberg Upper,361.0,2,2,4595000.0
3.0,house,Kirstenhof,275.0,2,1,2895000.0
2.0,apartment,Sea Point,106.0,1,1,3650000.0
2.0,apartment,Marina Da Gama,64.0,1,2,1195000.0
3.0,house,Rondebosch,160.0,2.5,2,3695000.0
2.0,house,Gardens,226.0,2,1,5295000.0
2.0,apartment,Rondebosch,82.0,1,1,1775000.0
2.0,apartment,Mouille Point,118.0,2,1,6950000.0
4.0,house,Meadowridge,904.0,3,7,4250000.0
4.0,house,Newlands,446.0,3,3,4500000.0
1.0,apartment,Claremont Upper,51.0,1,1,1550000.0
3.0,apartment,Observatory,90.0,2,1,2450000.0
1.0,apartment,De Waterkant,47.0,1,1,2999000.0
2.0,apartment,Bergvliet,92.0,1,1,1950000.0
3.0,house,Coniston Park,372.0,3,2,1600000.0
2.0,apartment,Fresnaye,132.0,2,1,5800000.0
3.0,house,Constantia,1.0,2,2,4999000.0
3.0,house,Claremont,487.0,2,3,3095000.0
3.0,house,Plumstead,495.0,2,5,2690000.0
4.0,house,Bergvliet,726.0,3,5,5150000.0
2.0,apartment,Bergvliet,92.0,1,1,1950000.0
3.0,house,Coniston Park,372.0,3,2,1600000.0
2.0,apartment,Fresnaye,132.0,2,1,5800000.0
3.0,house,Constantia,1.0,2,2,4999000.0
3.0,house,Claremont,487.0,2,3,3095000.0
4.0,house,Bergvliet,726.0,3,5,5150000.0
3.0,house,Constantia,1.0,2,4,4500000.0
3.0,house,Southfield,496.0,2,2,1995000.0
1.0,apartment,Muizenberg,62.0,1,1,1790000.0
5.0,house,Claremont Upper,816.0,5,3,7000000.0
2.0,house,De Waterkant,366.0,2,2,9600000.0
4.0,house,Camps Bay,625.0,4,2,16500000.0
1.0,apartment,Green Point,46.0,1,1,2950000.0
1.0,apartment,Green Point,46.0,1,1,2950000.0
1.0,apartment,Newlands,46.0,1,1,1425000.0
5.0,house,Silvertree Estate,654.0,5.5,3,9995000.0
3.0,house,Southfield,497.0,1,2,1700000.0
6.0,house,Meadowridge,685.0,3,2,3250000.0
3.0,apartment,Capricorn,79.0,2,1,1099000.0
3.0,house,Tokai,980.0,3,4,4350000.0
2.0,apartment,Sea Point,67.0,2,1,5200000.0
1.0,apartment,Cape Town City Centre,72.0,1,1,1825000.0
2.0,apartment,Mouille Point,128.0,2,2,8500000.0
4.0,house,Kenilworth,620.0,4,2,4495000.0
4.0,house,Constantia,675.0,4.5,2,12150000.0
2.0,apartment,Marina Da Gama,64.0,1,2,1195000.0
4.0,house,Kenilworth Upper,1.0,4,4,8995000.0
3.0,house,Muizenberg,203.0,2,2,1695000.0
2.0,apartment,Marina Da Gama,64.0,1,2,1195000.0
3.0,house,Bonteheuwel,125.0,1,1,550000.0
4.0,house,Bishopscourt Village,450.0,3.5,2,4999000.0
3.0,house,Claremont,446.0,2,2,2950000.0
5.0,house,Bergvliet,1.0,3,8,3300000.0
3.0,house,Kirstenhof,275.0,2,1,2895000.0
5.0,house,Camps Bay,852.0,5.5,2,29950000.0
3.0,house,Muizenberg,73.0,1,3,1280000.0
5.0,house,Bishopscourt,3.0,4,3,18500000.0
2.0,apartment,Observatory,62.0,1,1,1950000.0
2.0,apartment,Green Point,121.0,2.5,2,10995000.0
2.0,apartment,Rosebank,66.0,2,2,2650000.0
1.0,apartment,De Waterkant,107.0,1,1,3900000.0
3.0,apartment,Bridgetown,92.0,2,2,950000.0
2.0,apartment,Tamboerskloof,81.0,1,1,2695000.0
3.0,house,Bergvliet,750.0,2,4,3050000.0
2.0,apartment,Rosebank,66.0,2,2,2650000.0
2.0,apartment,Sea Point,80.0,2,2,5300000.0
2.0,apartment,Gardens,91.0,2,2,3995000.0
5.0,house,Bantry Bay,791.0,5,8,49950000.0
2.0,apartment,Pinelands,49.0,1,1,1300000.0
4.0,house,Constantia,675.0,4.5,2,12150000.0
5.0,house,Bantry Bay,791.0,5,8,49950000.0
2.0,apartment,Pinelands,49.0,1,1,1300000.0
4.0,house,Constantia,675.0,4.5,2,12150000.0
4.0,house,Kenilworth Upper,1.0,4,4,8995000.0
2.0,apartment,Sea Point,71.0,2,1,2800000.0
3.0,house,Muizenberg,203.0,2,2,1695000.0
4.0,house,Constantia,604.0,3,4,4150000.0
0.0,apartment,Cape Town City Centre,37.0,1,1,1395000.0
3.0,house,Lakeside,112.0,2,2,1485000.0
2.0,apartment,Walmer Estate,75.0,2,1,3395000.0
6.0,house,Rondebosch,1.0,2.5,4,8900000.0
3.0,house,Constantia,1.0,2,4,4500000.0
6.0,house,Camps Bay,840.0,5,2,24995000.0
4.0,house,Constantia,1.0,4,4,7800000.0
3.0,house,Southfield,496.0,2,2,1995000.0
3.0,apartment,Rondebosch,123.0,1.5,2,2995000.0
2.0,apartment,Kenilworth,67.0,2,1,2600000.0
3.0,apartment,Mouille Point,110.0,2,1,5500000.0
3.0,house,Kenilworth Upper,545.0,2,1,4995000.0
2.0,apartment,Sea Point,95.0,1.5,1,3999000.0
3.0,house,Rosebank,657.0,2,2,5850000.0
5.0,house,Fresnaye,952.0,5.5,2,24950000.0
0,apartment,Salt River,68.0,1,1,1400000.0
2.0,apartment,Kenilworth,86.0,1,1,1530000.0
4.0,house,Constantia,604.0,2,2,4150000.0
5.0,house,Salt River,447.0,2,1,3700000.0
2.0,apartment,Walmer Estate,75.0,2,1,3395000.0
0,apartment,Salt River,68.0,1,1,1400000.0
6.0,house,Rondebosch,1.0,2.5,4,8900000.0
3.0,house,Constantia,1.0,2,4,4500000.0
